Steps,_lr_multiplier,_Episode,_max_adv,_min_adv,_std_adv,_mean_discrew,PolicyEntropy,ValFuncLoss,_max_act,ExplainedVarOld,_min_obs,_std_obs,_max_obs,_max_discrew,_min_discrew,Beta,_min_act,PolicyLoss,_MeanReward,_mean_act,_std_act,KL,_std_discrew,ExplainedVarNew,_mean_adv,_mean_obs
3457,1.0,800,3.1177437028752144,-7.65030959464767,0.9999812195091445,0.0,0.94795465,0.0005721676832257819,2.0837247,0.9719601553309618,-1.935165810985388,0.04169736864945677,0.5834983274104713,0.0,0.0,1.0,-1.9273658,-0.00386445,-172.85,0.100486465,0.41099334,0.0058941194,0.0,0.9994286152621761,-2.0553738378944175e-18,-0.005157451755203583
5918,1.0,820,2.507082629624416,-7.014084045803521,0.999963276690484,0.0,0.94503003,0.000337765040897396,2.5633695,0.9951401303438902,-1.951987252282968,0.07929022660502325,0.5811753870479538,0.0,0.0,0.6666666666666666,-2.2160418,-0.0009915206,-295.9,-0.023557926,0.4620726,0.0014985021,0.0,0.9996641524470871,0.0,-0.06641638040323838
6242,1.0,840,6.197539030129933,-4.823292114963205,0.99987925928058,0.0,0.94360894,0.0001727382399928995,2.4049506,0.999620429692154,-1.9207134338040175,0.08214024609674855,0.5835082314300912,0.0,0.0,0.4444444444444444,-2.4750023,-0.0008794848,-312.1,-0.040480558,0.46152106,0.0014928132,0.0,0.9998284176704584,2.2766508675427753e-18,-0.06985292351721928
6875,1.0,860,3.0305571741397457,-2.368509644797543,0.9997498414675485,0.0,0.9435972,6.149910690387757e-05,2.8089259,0.9998977600636196,-1.8831101577727891,0.0930103209613731,0.5860969549010929,0.0,0.0,0.4444444444444444,-2.3368554,-0.0016499343,-343.75,-0.08366682,0.4867554,0.0021302172,0.0,0.9999388393678362,-2.5837917664003643e-17,-0.08244289569900613
7044,1.0,880,6.223771050174998,-6.995744653594219,0.9997236534216791,0.0,0.9427351,6.450322667036492e-05,2.6710522,0.9999156545866675,-1.833108041562622,0.08705665261540996,0.5874909154954681,0.0,0.0,0.4444444444444444,-2.7627623,-0.0014018365,-352.2,-0.08460099,0.49853238,0.004650927,0.0,0.999935535152241,1.008720522089864e-18,-0.08227399351559311
7715,1.0,900,4.22163537144922,-15.14334615392768,0.999734499963883,0.0,0.94108415,6.578178309652133e-05,2.7187064,0.9999043736573082,-1.7899222792780796,0.09363366684688681,0.5891316751682452,0.0,0.0,0.4444444444444444,-2.4775004,-0.0018824275,-385.75,-0.15001604,0.52629673,0.0030561192,0.0,0.999934245855217,-9.209886400001299e-18,-0.08175826314178511
7880,1.0,920,3.779503268761818,-1.8265994915736907,0.999546136086624,0.0,0.93933207,2.2841553847242642e-05,2.6520274,0.9999688427533349,-1.7398935565202012,0.08861799348950604,0.5903135720966471,0.0,0.0,0.2962962962962963,-2.7500324,-0.0005370053,-394.0,-0.17390752,0.5464422,0.0011441318,0.0,0.9999774861353494,-1.80340795878198e-17,-0.08380621451282569
7847,1.0,940,3.2940565992746764,-2.8284959599777997,0.9994996650530605,0.0,0.93822885,2.073639204616034e-05,2.6739335,0.9999738713270232,-1.69676408286441,0.08732134097286895,0.5914063260324931,0.0,0.0,0.19753086419753085,-2.6103454,-0.0006866122,-392.35,-0.21149766,0.5587268,0.00062241824,0.0,0.9999792639996369,1.8109920625974264e-17,-0.07793316640280637
7699,1.0,960,3.8029488683990924,-1.7279374656169229,0.9994121411092428,0.0,0.93700796,1.439851832750589e-05,3.0413795,0.9999822516803132,-1.6594120982715552,0.08613708245901973,0.5927926959909838,0.0,0.0,0.19753086419753085,-2.5677242,-0.00091261306,-384.95,-0.200426,0.55632365,0.0032598383,0.0,0.9999856015497275,1.845805262397974e-18,-0.07351207011136338
7904,1.0,980,3.9612131764791707,-1.717034508836081,0.9993045346097118,0.0,0.936527,9.343804145106716e-06,2.5317054,0.9999885501994169,-1.6259194196379725,0.08346363442283969,0.5990395596910428,0.0,0.0,0.19753086419753085,-3.0472312,-0.0005498922,-395.2,-0.23981553,0.5978653,0.0019890848,0.0,0.9999906931548912,-1.8428803242765758e-17,-0.07085949244764761
