_Episode,PolicyEntropy,ValFuncLoss,Beta,_std_act,_std_adv,_lr_multiplier,_min_adv,_mean_adv,_max_adv,_max_act,ExplainedVarOld,_min_obs,ExplainedVarNew,_std_obs,_mean_act,_max_obs,_MeanReward,_min_discrew,_min_act,_mean_obs,_max_discrew,_mean_discrew,_std_discrew,PolicyLoss,KL,Steps
620,0.9031899,2774.3987069424884,0.4444444444444444,0.38595125,0.9999998870964837,1.0,-2.7939024150688994,3.715256134693334e-17,1.5131662866437734,2.8141985,0.1587808973973327,-2.394231665472574,0.16080911536444353,0.04477189519272598,0.43563604,0.6654695966154945,-119.7,-214.0,-1.7101496,0.015288768398453053,-1.0,-63.46100217864924,1637.4868233965094,-0.0004625932,0.00059625326,2295
640,0.9094866,7312.0406591607325,0.2962962962962963,0.44170085,0.9999998970076625,1.0,-2.480241562110681,-1.6012995190926628e-16,1.9353864392159537,2.6834838,0.07502829443044134,-2.409264805883714,0.08120413025827267,0.07156942145204961,0.35479322,0.6641455202008789,-140.8,-342.0,-2.0184684,-0.008792415244976193,-1.0,-84.54889228418641,4302.722017489543,-0.0012106939,0.00082029623,2618
660,0.9123357,3026.3064293615134,0.4444444444444444,0.41679892,0.9999998870079859,1.0,-2.9575021556699883,7.372687271181325e-17,1.5220796169582782,2.685002,0.1602442550079214,-2.386507282354877,0.14888866182400806,0.04393623873701376,0.4039201,0.664012347410945,-120.6,-210.0,-1.9544587,0.015443341770563826,-1.0,-65.08949416342412,1829.8298636870609,-0.0029425528,0.006615721,2313
680,0.9110539,6888.486961566347,0.4444444444444444,0.42849264,0.9999998925975536,1.0,-3.197012117363889,-1.1605003850573277e-16,1.9539183841728414,2.6718936,0.07809475647454778,-2.403096193540323,0.07829973045230021,0.06867882518472326,0.29020226,0.6641714913899828,-139.65,-346.0,-1.9958876,-0.008293871942331884,-1.0,-82.31254639940609,4204.152500345843,-0.0014834944,0.0045016212,2694
700,0.9085238,2311.1727938388053,0.4444444444444444,0.36247322,0.9999998874419754,1.0,-3.554494032696213,5.200678761281612e-17,1.5260394139547702,2.528396,0.1737833369039723,-2.3843765179119614,0.1776976543716573,0.03843047568815254,0.44909072,0.6649649718314954,-114.25,-204.0,-1.5109464,0.024205798288437417,-1.0,-60.36642268984446,1474.649357468177,-0.0030125815,0.005142334,2186
720,0.90575737,3253.0888498254344,0.2962962962962963,0.4073994,0.9999998903980064,1.0,-3.3383707011981985,1.838848972448298e-16,1.6448685021070355,2.575097,0.1503649376781947,-2.403118608004131,0.1542134921096141,0.04146066223711787,0.36575833,0.6638579444921823,-128.6,-204.0,-1.6893938,0.010026085242707709,-1.0,-68.65628790942175,1870.1576404055838,-0.00037859858,0.00078865077,2473
740,0.9058451,7085.673524346443,0.2962962962962963,0.47203538,0.9999998936629335,1.0,-2.4261176223641088,-5.0807489149810523e-17,2.6973293942900294,2.5333834,0.07760217402183123,-2.424855859020323,0.08316761423123076,0.07527771901597793,0.34252125,0.6622082377754576,-144.8,-352.0,-2.0058873,-0.014978309714175651,-1.0,-84.59885591705398,4288.782236803338,-0.0010812675,0.002215576,2797
760,0.9080539,17167.83840076879,0.19753086419753085,0.51753736,0.9999998928204487,1.0,-2.1569426823618723,1.1113807128677272e-16,2.105372017156678,2.850388,0.05456166779412619,-2.402678418894206,0.05609280380191939,0.08872458072712597,0.21159476,0.6648005416807814,-196.75,-386.0,-2.2342508,-0.04815021942009555,-1.0,-124.51694473409802,8711.285166473484,-0.00048193234,0.0011598232,3836
780,0.9093665,24051.92661476404,0.19753086419753085,0.56515676,0.9999998886294674,1.0,-0.8693705431298709,-2.115901909305731e-16,3.6547683679092255,2.9555614,0.04901947223716019,-2.354988971174387,0.05359993892223547,0.09469768334979363,0.10510805,0.6687738441278175,-248.5,-386.0,-2.3417783,-0.07095347070630961,-1.0,-150.24989939637828,10707.321453712211,-0.002759992,0.0046951976,4970
800,0.9092445,10986.11326636102,0.1316872427983539,0.5230242,0.9999999000530289,1.0,-3.432031709443632,-6.990582080563178e-17,2.0445114899970944,2.8466914,0.07753534256290273,-2.2818700677016674,0.07077699495481349,0.07760624178547812,0.3849967,0.6754351884401996,-152.2,-376.0,-2.0774407,-0.012526542497093328,-1.0,-100.33239634574842,6881.3006159722145,-0.0006841756,0.0010802094,2846
820,0.91239154,8024.282130148359,0.1316872427983539,0.4982542,0.999999903379134,1.0,-2.9233816141139477,1.475742605040208e-16,1.6338225762900578,3.302919,0.08500620770104583,-2.2672021191206064,0.0858833195094505,0.07371972900534927,0.44863433,0.6761385561341384,-144.85,-373.0,-1.7201273,-0.0006710006805365104,-1.0,-90.34807692307692,5201.695380917159,-0.0017117314,0.0034308496,2600
840,0.9175908,11129.007582729786,0.19753086419753085,0.5306096,0.9999999056817153,1.0,-2.9800768425733963,-1.0176050637452205e-16,2.237488960112606,2.949918,0.07017047040478486,-2.2549226206768616,0.06719813335867764,0.0823982404628221,0.46526277,0.6763819616756513,-154.5,-381.0,-1.9909798,-0.011701330605621953,-1.0,-102.70569280343716,6916.052301999436,-0.004348323,0.010219023,2793
